target,status,id,level,use_case_name,label,stakeholder,description
v1.0.0,Done,1,0_MUST,write_in_R,Write Check in R,Data Manager,code a metadata and data check using R packages
v1.0.0,Done,2,0_MUST,get_rec,Get Recommendation,Data Manager,get list of the set of checks in a recommmendation and other metadata
v1.0.0,Done,3,0_MUST,get_check,Get Check,Data Manager,get the metadata and implementation code for a check
v1.0.0,Done,4,0_MUST,run_check,Run check,Repository Manager,run a single check against a provided data package
v1.0.0,Done,5,0_MUST,run_rec,Run recommendation,Repository Manager,run all checks in a recommendation against a provided data package
v1.0.0,Done,6,0_MUST,get_rec_results,Get recommendation results,Data Manager,get a structured report of results of running a recommendation
v1.1.0,Done,7,0_MUST,get_rec_results_batch,Batch Get Recommendation Results,Repository Manager,Efficiently access recommendation run results for a collection of data such as a repository
v1.0.0,Done,8,0_MUST,view_rec_results,View Recommendation Results on Web,Researcher,view the results of a recommendation for a specific data package on the web
v1.1.0,Done,9,0_MUST,view_rec_results_user,User View Recommendation Results,Researcher,view the results of a recommendation runs across all of a user's data packages
v1.1.0,Done,10,0_MUST,view_rec_results_funder,Funder View Recommendation Results,Funder,view the results of a recommendation for all packages from a specific funder or funder program
v1.1.0,Done,11,0_MUST,view_rec_results_repo,Repo View Recommendation Results,Repository Manager,view the results of all recommendations run for a given repository
v1.1.0,Done,22,2_NICE,view_rec_results_group,Group View Recommendation Results,Group Member,view the results of all recommendations run for a given group or organization
,,30,2_MUST,view_rec_results_cn,CN View Recommendation Results,Researcher/anyone?,View the results of all recommendation runs on a CN
v1.0.0,Done,12,0_MUST,add_dialect,Add metadata dialect,MetaDigSystemPeople,add a new metadata dialect to the mdq engine (from section 4.2.1 of proposal)
v1.0.0,Done,13,0_MUST,list_recs,List Recommendations,All,list recommendations that have been registered with the system
v1.0.0,Done,14,1_SHOULD,create_rec,Create Recommendation,Data Manager,pass in a set of checks and a name/metadata to create a recommendation that can be run as a suite
v1.0.0,Done,15,1_SHOULD,list_checks,List Checks,Data Manager,"get the list of checks, possibly categorized by recommendation"
v1.0.0,Done,16,1_SHOULD,add_check,Add Check,Data Manager,add the metadata and implementation code for a check
v1.0.0,Done,17,1_SHOULD,update_rec,Update Recommendation,Data Manager,update a recommendation by creating a new version with changed metadata and a different list or order of checks
v1.0.0,Done,18,1_SHOULD,run_check_for_edit,Run single for edited package,Researcher,"run single quality check for a package being edited (online metadata editor) or updated (passing in metadata, and maybe data?)"
v1.0.0,Done,19,2_NICE,write_in_python,Write Check in Python,Data Manager,code a metadata and data check using Python
,,20,2_NICE,run_rec_in_r,Run recommendation locally in R,Data Manager,run all checks in a recommendation against a provided data package locally in R
,,21,2_NICE,view_rec_results_r,View Rec Results in R,Researcher,view the results of a recommendation for a specific data package in R
v1.0.0,Done,23,2_NICE,run_rec_for_repo,Run recommendation for a repo,Repository Manager,run all checks in a recommendation against all documents in a repository
v1.0.0,Done,24,2_NICE,run_rec_for_edit,Run recommendation for edited package,Researcher,run quality checks for a package being edited (online metadata editor) or updated
v1.0.0,Done,25,2_NICE,write_in_Java,Write Check in Java,Data Manager,code a metadata and data check using Java packages
v1.0.0,Done,26,2_MUST,reuse_checks,Re-use Checks across Suites,Data Manager,"It should be possible to create a new Suite that uses, either partially or completely, previously registered/written checks"
,,27,,add_check_in_r,Add a check from R,Data Manager,add a check to the engine from R via the REST API
,,28,,run_check_in_r,Run an R check from R,Data Manager,run a check written in r against a doc/package prior to submitting
v1.0.0,Done,29,2_NICE,explit_xml_namespaces,Explictly specify XML namespaces,Data Manager,Specify XML namespaces explicitly before using them in checks so xpath selectors don't rely on local names
???,,30,2_NICE,data_package_check,Write a Check that uses the Resource Map,Data Manager,Write a Check that checks something about an ORE or checks correspondence between a metadata Object and an ORE it's a member of
???,,31,2_NICE,sysmeta_check,Write a Check that uses System Metadata,Data Manager,Write a Check that checks something about an Object's System Metadata or checks correspondence between the System Metadata for a metadata Object and an ORE that metadata Object is a member of
